1, 2, WinRate, Win, Defeat
8, 28,45.89 ,5788, 6825
52, 64,45.6 ,757, 903
19, 41,39.92 ,6020, 9059
21, 29,43.86 ,2928, 3748
2, 33,40.15 ,367, 547
7, 14,38.89 ,3503, 5505
18, 87,44.0 ,3906, 4972
36, 41,45.7 ,3128, 3717
6, 10,50.89 ,2507, 2419
26, 27,35.3 ,1175, 2154
22, 67,41.87 ,5919, 8217
41, 71,37.91 ,2599, 4256
5, 41,41.99 ,5876, 8118
14, 47,46.38 ,3561, 4117
8, 80,46.16 ,1208, 1409
11, 16,37.24 ,1879, 3166
19, 26,35.96 ,4714, 8395
11, 38,45.14 ,849, 1032
10, 22,41.87 ,2605, 3617
22, 48,45.42 ,1476, 1774
1, 72,35.25 ,258, 474
41, 52,44.47 ,1416, 1768
5, 39,40.17 ,3753, 5590
18, 85,49.59 ,2760, 2806
7, 30,40.72 ,2820, 4106
16, 17,40.32 ,1693, 2506
14, 20,45.76 ,2859, 3389
10, 12,36.98 ,551, 939
40, 63,43.75 ,476, 612
10, 40,43.33 ,1859, 2431
8, 20,45.04 ,2494, 3043
20, 39,45.13 ,1770, 2152
10, 25,40.38 ,3072, 4536
23, 31,37.77 ,1648, 2715
39, 58,35.29 ,457, 838
11, 12,36.76 ,1284, 2209
11, 18,41.81 ,4507, 6273
14, 31,41.51 ,5257, 7408
5, 7,43.57 ,3702, 4795
14, 100,37.17 ,1816, 3070
19, 44,39.05 ,6162, 9619
18, 31,45.46 ,4425, 5308
22, 31,42.93 ,3178, 4224
19, 38,48.17 ,989, 1064
26, 41,36.68 ,7698, 13290
9, 36,47.2 ,2230, 2495
5, 42,40.39 ,2128, 3140
8, 13,43.05 ,3221, 4261
5, 74,43.1 ,6666, 8799
1, 15,40.99 ,489, 704
39, 54,40.24 ,2685, 3988
25, 26,36.09 ,3682, 6519
14, 26,35.94 ,8143, 14517
31, 63,42.15 ,945, 1297
51, 60,50.17 ,1027, 1020
17, 44,38.01 ,4230, 6898
2, 41,40.14 ,4373, 6521
21, 48,44.99 ,2592, 3169
6, 51,53.7 ,4156, 3584
2, 18,44.57 ,4118, 5122
3, 16,44.0 ,741, 943
2, 12,39.79 ,1167, 1766
12, 25,39.15 ,1400, 2176
8, 17,44.56 ,5961, 7417
14, 21,39.84 ,10647, 16079
5, 44,40.6 ,5688, 8323
6, 7,47.68 ,4196, 4605
64, 86,41.63 ,3089, 4332
39, 90,33.47 ,675, 1342
18, 30,44.14 ,4585, 5802
1, 2,39.16 ,4391, 6822
14, 19,36.32 ,4066, 7129
7, 40,44.46 ,1806, 2256
16, 27,43.69 ,1535, 1978
2, 46,43.87 ,1689, 2161
14, 42,38.09 ,3853, 6263
21, 56,49.08 ,3987, 4136
41, 64,43.26 ,5591, 7334
2, 6,50.41 ,4131, 4064
25, 93,39.73 ,3921, 5948
14, 51,38.19 ,2403, 3890
22, 47,46.33 ,1351, 1565
3, 30,42.69 ,324, 435
9, 19,43.02 ,2948, 3905
21, 41,39.99 ,9378, 14073
44, 74,40.64 ,8721, 12737
1, 7,38.88 ,4738, 7447
21, 40,44.39 ,2978, 3730
22, 30,41.57 ,3474, 4882
6, 26,42.29 ,5067, 6914
1, 18,34.56 ,801, 1517
16, 54,43.48 ,1633, 2123
3, 19,42.17 ,1239, 1699
10, 17,38.35 ,1657, 2664
6, 74,47.12 ,6361, 7139
28, 67,39.44 ,3395, 5212
21, 30,41.95 ,5838, 8079
5, 19,43.54 ,4531, 5876
23, 27,39.99 ,1360, 2041
6, 30,48.18 ,4229, 4549
30, 81,45.6 ,1424, 1699
7, 9,44.12 ,2750, 3483
22, 44,42.85 ,6098, 8134
2, 11,40.99 ,3522, 5070
14, 23,35.32 ,2742, 5022
41, 86,39.07 ,7811, 12180
55, 81,42.49 ,150, 203
1, 40,42.56 ,2940, 3968
14, 36,46.05 ,4155, 4868
7, 54,41.52 ,2671, 3762
25, 86,39.32 ,3355, 5177
44, 49,38.82 ,1209, 1905
44, 45,45.49 ,2888, 3461
22, 45,48.21 ,1453, 1561
16, 44,38.85 ,2844, 4477
5, 13,41.58 ,1751, 2460
21, 44,37.86 ,8988, 14753
11, 37,40.88 ,1849, 2674
8, 68,45.92 ,3512, 4136
23, 44,36.43 ,2391, 4172
5, 21,43.48 ,6676, 8679
10, 45,44.7 ,1557, 1926
35, 42,39.35 ,1081, 1666
14, 49,39.63 ,1487, 2265
22, 26,38.37 ,4995, 8024
11, 31,40.98 ,3574, 5147
35, 40,38.9 ,724, 1137
18, 49,44.51 ,968, 1207
5, 26,36.92 ,1621, 2770
1, 28,37.98 ,3678, 6007
27, 44,39.87 ,3486, 5257
25, 44,40.43 ,5484, 8081
9, 21,43.21 ,5609, 7373
19, 30,41.92 ,3563, 4937
6, 9,53.1 ,5705, 5039
22, 27,45.57 ,2511, 2999
2, 5,42.79 ,3662, 4897
7, 11,38.43 ,3469, 5558
3, 9,47.6 ,2016, 2219
18, 39,41.61 ,4584, 6433
9, 44,41.86 ,6324, 8783
14, 67,39.13 ,7628, 11868
19, 40,45.65 ,2328, 2772
9, 34,41.49 ,1599, 2255
1, 22,40.71 ,5369, 7820
13, 32,42.01 ,502, 693
21, 34,39.28 ,1833, 2834
1, 41,28.83 ,531, 1311
6, 71,49.01 ,2540, 2643
8, 31,47.39 ,8183, 9086
3, 5,41.58 ,294, 413
1, 27,38.58 ,3238, 5156
3, 8,45.64 ,2191, 2610
8, 29,47.87 ,3850, 4193
8, 39,43.0 ,7055, 9352
14, 46,39.03 ,3130, 4889
44, 52,41.72 ,1255, 1753
16, 20,46.58 ,1022, 1172
22, 36,45.79 ,1670, 1977
8, 26,41.46 ,10843, 15312
30, 38,45.45 ,780, 936
10, 43,40.16 ,359, 535
9, 95,46.07 ,1688, 1976
5, 28,44.12 ,3434, 4350
3, 22,47.88 ,1244, 1354
2, 7,38.36 ,2153, 3459
51, 67,44.83 ,3375, 4153
8, 30,44.59 ,7257, 9018
21, 53,37.41 ,2027, 3391
4, 8,51.89 ,2671, 2476
37, 47,48.26 ,941, 1009
11, 28,41.18 ,3316, 4737
19, 56,50.05 ,2767, 2761
23, 37,41.22 ,887, 1265
1, 30,39.38 ,4701, 7236
8, 54,32.67 ,477, 983
1, 19,38.1 ,5613, 9118
17, 43,46.25 ,179, 208
28, 51,44.28 ,1346, 1694
39, 40,40.9 ,1836, 2653
11, 57,42.1 ,458, 630
2, 35,38.07 ,1430, 2326
13, 19,39.1 ,1797, 2799
41, 55,41.47 ,883, 1246
7, 86,37.42 ,3129, 5233
19, 31,43.06 ,3942, 5213
5, 48,45.86 ,1558, 1839
7, 67,39.04 ,3909, 6105
10, 11,35.04 ,1911, 3542
30, 39,38.88 ,3264, 5131
19, 35,35.45 ,1259, 2292
8, 85,47.14 ,3604, 4041
1, 31,41.9 ,4932, 6840
1, 16,38.05 ,2557, 4163
25, 31,42.13 ,2891, 3971
32, 69,37.68 ,488, 807
39, 50,39.37 ,1452, 2236
40, 51,49.97 ,1675, 1677
26, 47,41.41 ,2599, 3678
32, 42,42.2 ,495, 678
17, 21,39.51 ,4117, 6303
44, 107,39.64 ,2821, 4295
6, 31,50.2 ,3595, 3566
2, 10,40.31 ,2923, 4329
17, 23,33.73 ,567, 1114
1, 17,37.04 ,4328, 7356
44, 68,43.43 ,2745, 3575
13, 84,44.24 ,2760, 3479
10, 37,43.4 ,1748, 2280
39, 83,42.62 ,2251, 3030
44, 55,40.03 ,811, 1215
7, 68,42.86 ,1768, 2357
27, 36,47.39 ,1435, 1593
26, 39,34.1 ,4556, 8803
38, 74,46.59 ,1497, 1716
8, 34,45.54 ,3014, 3604
6, 18,46.47 ,1370, 1578
25, 41,41.67 ,5872, 8221
19, 64,43.05 ,3369, 4457
18, 40,46.09 ,2856, 3340
9, 67,43.16 ,5408, 7123
26, 51,40.53 ,3335, 4894
16, 29,38.14 ,180, 292
9, 29,47.04 ,2454, 2763
34, 84,44.59 ,2475, 3075
30, 35,37.3 ,1453, 2442
9, 87,43.92 ,2788, 3560
12, 39,34.95 ,1191, 2217
22, 32,47.24 ,1439, 1607
19, 29,43.8 ,1767, 2267
25, 28,43.37 ,3639, 4751
3, 18,48.05 ,1612, 1743
5, 14,42.49 ,6429, 8702
3, 44,42.07 ,1798, 2476
29, 70,37.71 ,810, 1338
44, 72,35.1 ,291, 538
3, 6,51.25 ,1519, 1445
6, 68,47.83 ,2012, 2195
6, 8,43.45 ,1286, 1674
16, 67,39.83 ,2390, 3610
9, 27,46.08 ,2778, 3250
9, 22,47.33 ,4237, 4715
7, 41,38.63 ,4864, 7728
8, 96,44.03 ,2607, 3314
64, 74,43.74 ,5602, 7206
22, 46,40.92 ,674, 973
9, 30,43.56 ,3383, 4384
5, 27,44.79 ,783, 965
51, 58,41.49 ,395, 557
6, 40,54.48 ,2712, 2266
19, 53,39.91 ,1708, 2572
59, 67,45.45 ,1090, 1308
25, 42,40.97 ,2201, 3171
42, 91,36.87 ,507, 868
2, 23,37.44 ,1086, 1815
69, 74,35.23 ,2335, 4292
11, 30,39.87 ,3643, 5494
11, 41,37.68 ,4961, 8206
1, 36,42.97 ,2787, 3699
37, 46,47.02 ,1042, 1174
8, 40,47.95 ,4261, 4626
7, 31,41.6 ,2920, 4100
1, 20,37.62 ,1604, 2660
10, 68,41.0 ,1959, 2819
7, 51,43.39 ,1299, 1695
18, 19,44.68 ,5117, 6335
16, 84,46.57 ,3120, 3579
65, 70,31.58 ,252, 546
44, 53,36.17 ,1892, 3339
18, 47,48.52 ,2304, 2445
14, 18,42.01 ,8194, 11313
17, 28,40.56 ,2572, 3769
6, 34,49.73 ,1576, 1593
10, 23,35.11 ,1171, 2164
26, 36,40.63 ,2883, 4212
19, 25,40.35 ,3085, 4561
13, 41,35.33 ,2021, 3699
21, 43,41.28 ,791, 1125
15, 74,43.73 ,544, 700
39, 69,33.17 ,1406, 2833
8, 37,46.36 ,3117, 3606
41, 53,37.26 ,2179, 3669
9, 10,42.22 ,3709, 5076
40, 44,42.26 ,3078, 4205
9, 48,46.73 ,1698, 1936
25, 37,45.92 ,1639, 1930
56, 62,44.91 ,970, 1190
35, 53,33.87 ,508, 992
3, 14,39.33 ,1772, 2734
39, 47,43.12 ,1088, 1435
45, 84,53.67 ,3406, 2940
6, 45,54.71 ,2252, 1864
3, 11,43.21 ,1377, 1810
50, 71,40.15 ,787, 1173
16, 37,43.48 ,1124, 1461
54, 65,39.87 ,547, 825
8, 64,47.56 ,6650, 7333
19, 67,39.67 ,4758, 7237
12, 31,40.63 ,1279, 1869
8, 41,33.37 ,958, 1913
69, 105,32.28 ,615, 1290
16, 18,44.38 ,2570, 3221
16, 26,37.54 ,2735, 4551
6, 53,44.85 ,1808, 2223
25, 43,42.39 ,490, 666
21, 36,45.66 ,2859, 3402
31, 42,40.37 ,1713, 2530
5, 67,43.56 ,5019, 6503
39, 44,37.45 ,4977, 8311
13, 27,39.35 ,1060, 1634
2, 31,43.56 ,3462, 4486
13, 93,37.06 ,1526, 2592
8, 83,48.19 ,4222, 4540
14, 16,38.76 ,2918, 4610
8, 16,45.19 ,3980, 4827
21, 33,40.02 ,918, 1376
18, 27,45.93 ,3478, 4094
5, 31,43.11 ,804, 1061
11, 53,35.36 ,1254, 2292
13, 21,38.72 ,2064, 3266
7, 16,38.97 ,1305, 2044
18, 35,38.95 ,1862, 2918
18, 34,40.7 ,1676, 2442
34, 35,36.54 ,270, 469
29, 52,45.77 ,384, 455
8, 50,42.96 ,2991, 3972
60, 68,44.99 ,929, 1136
32, 46,48.51 ,617, 655
8, 23,41.66 ,3262, 4568
31, 36,49.09 ,1995, 2069
17, 38,44.84 ,708, 871
17, 29,42.84 ,1609, 2147
1, 37,42.17 ,2829, 3879
39, 41,37.19 ,5360, 9052
6, 60,51.89 ,2241, 2078
4, 7,46.97 ,1263, 1426
51, 53,45.49 ,1065, 1276
34, 42,41.69 ,973, 1361
7, 19,39.19 ,2126, 3299
6, 36,55.58 ,2705, 2162
10, 26,36.94 ,4679, 7989
21, 46,42.39 ,2488, 3381
19, 62,43.42 ,1185, 1544
11, 62,40.46 ,1657, 2438
13, 74,39.01 ,1519, 2375
10, 14,37.62 ,6073, 10071
1, 10,35.5 ,1651, 3000
26, 59,43.3 ,1522, 1993
25, 64,42.45 ,2532, 3433
18, 23,38.63 ,1938, 3079
6, 75,46.78 ,2147, 2443
28, 36,45.16 ,849, 1031
52, 69,40.23 ,393, 584
6, 38,55.94 ,1310, 1032
7, 48,43.66 ,1415, 1826
17, 40,42.82 ,1778, 2374
7, 25,39.81 ,2517, 3805
75, 95,43.55 ,763, 989
8, 47,49.24 ,3613, 3724
3, 4,49.49 ,583, 595
23, 71,37.39 ,775, 1298
41, 104,42.76 ,6679, 8941
4, 21,47.63 ,2402, 2641
9, 23,40.24 ,2167, 3218
26, 44,36.01 ,7538, 13396
54, 61,55.26 ,641, 519
1, 8,30.25 ,534, 1231
6, 16,48.66 ,2383, 2514
12, 14,36.01 ,2306, 4097
11, 26,37.68 ,5498, 9092
11, 63,38.21 ,1011, 1635
74, 84,48.48 ,11118, 11814
14, 27,41.11 ,4064, 5822
7, 13,36.61 ,1530, 2649
31, 40,45.15 ,1546, 1878
9, 16,45.11 ,2898, 3527
7, 59,47.23 ,1006, 1124
34, 60,47.76 ,801, 876
12, 62,39.52 ,541, 828
10, 64,41.95 ,2859, 3956
41, 59,46.24 ,1345, 1564
3, 21,41.02 ,1918, 2758
67, 69,33.43 ,1779, 3542
20, 27,45.79 ,522, 618
22, 40,45.58 ,2031, 2425
