1, 2, WinRate, Win, Defeat
7, 35,43.55 ,3139, 4069
8, 51,55.24 ,12227, 9908
25, 33,48.26 ,1223, 1311
1, 3,47.25 ,3895, 4349
9, 14,49.69 ,11064, 11201
4, 25,57.08 ,3654, 2747
7, 18,49.46 ,9734, 9947
17, 30,49.47 ,7243, 7397
9, 11,50.19 ,10237, 10160
1, 5,48.52 ,12201, 12946
2, 37,51.8 ,4208, 3916
17, 35,45.83 ,1395, 1649
17, 67,48.04 ,8978, 9712
14, 18,50.69 ,20263, 19708
25, 30,49.04 ,6688, 6950
18, 74,51.12 ,17737, 16959
9, 25,50.61 ,6416, 6262
16, 31,48.24 ,4517, 4847
8, 21,52.65 ,31076, 27944
22, 53,49.11 ,3409, 3533
2, 3,52.64 ,2622, 2359
18, 93,46.59 ,2422, 2777
21, 28,49.5 ,10922, 11144
7, 8,51.86 ,16305, 15135
2, 12,48.1 ,2905, 3135
2, 31,51.34 ,8199, 7772
5, 10,50.98 ,8699, 8363
18, 20,53.82 ,4019, 3449
1, 19,44.32 ,12840, 16132
21, 25,48.54 ,11530, 12225
2, 82,55.24 ,1582, 1282
1, 69,39.17 ,4900, 7608
26, 41,44.1 ,18148, 23005
9, 45,57.8 ,4730, 3454
11, 20,53.4 ,4921, 4294
36, 56,61.05 ,2846, 1816
74, 97,46.71 ,11974, 13659
26, 39,42.25 ,11072, 15135
20, 35,54.94 ,2062, 1691
40, 69,49.1 ,1819, 1886
20, 28,55.5 ,4090, 3280
16, 30,47.7 ,4487, 4920
14, 42,47.66 ,9747, 10704
7, 48,52.01 ,3382, 3121
31, 43,53.04 ,1431, 1267
6, 23,52.88 ,5194, 4628
8, 11,49.73 ,16410, 16585
11, 26,44.62 ,13002, 16140
8, 27,54.22 ,13944, 11774
18, 83,56.72 ,6925, 5285
3, 7,51.21 ,2133, 2032
41, 74,49.88 ,35307, 35483
9, 20,57.99 ,4484, 3249
1, 26,41.87 ,15383, 21361
13, 29,46.92 ,1646, 1862
12, 14,44.66 ,5864, 7266
22, 38,54.16 ,1829, 1548
9, 39,49.49 ,8910, 9093
2, 30,50.59 ,8293, 8100
43, 44,49.55 ,1935, 1970
20, 22,55.73 ,4256, 3381
4, 10,57.29 ,3475, 2591
21, 67,48.39 ,18523, 19755
10, 18,48.2 ,4749, 5104
18, 86,49.34 ,15127, 15532
21, 51,54.47 ,11222, 9380
14, 26,45.09 ,20591, 25072
22, 30,50.27 ,8332, 8244
35, 86,42.9 ,4044, 5382
35, 44,43.57 ,4726, 6121
25, 68,49.85 ,3358, 3378
2, 40,53.77 ,3527, 3032
8, 35,49.23 ,6936, 7154
5, 28,51.01 ,8091, 7771
26, 34,45.26 ,4855, 5871
31, 70,47.48 ,4484, 4959
7, 29,48.31 ,3281, 3510
34, 44,46.97 ,4642, 5240
18, 46,51.51 ,4773, 4494
5, 22,53.47 ,10288, 8952
6, 22,59.78 ,9676, 6510
6, 27,57.31 ,6102, 4546
8, 10,49.84 ,7225, 7271
31, 85,53.26 ,2649, 2325
29, 34,48.36 ,1683, 1797
9, 18,55.04 ,13440, 10980
5, 9,54.03 ,9764, 8306
30, 31,47.57 ,2083, 2296
50, 93,47.59 ,4421, 4869
21, 22,49.93 ,13010, 13048
10, 39,45.73 ,5641, 6695
27, 50,49.23 ,1049, 1082
14, 53,43.13 ,5823, 7677
41, 42,43.21 ,2407, 3163
52, 67,50.42 ,2666, 2622
11, 14,46.99 ,18083, 20397
6, 10,59.51 ,6182, 4206
8, 25,52.63 ,16901, 15213
48, 88,55.49 ,909, 729
4, 11,53.15 ,3254, 2868
1, 7,45.5 ,10892, 13044
8, 74,52.51 ,27347, 24733
22, 29,51.81 ,4745, 4414
5, 16,50.41 ,5424, 5335
30, 52,51.45 ,1808, 1706
9, 27,53.61 ,6647, 5752
27, 93,48.43 ,7295, 7769
47, 60,56.65 ,1517, 1161
22, 25,49.13 ,6636, 6871
2, 21,49.96 ,11385, 11402
11, 41,45.13 ,11938, 14512
44, 47,51.51 ,5913, 5566
13, 28,45.62 ,2639, 3146
18, 31,52.17 ,10031, 9197
8, 36,55.0 ,8865, 7253
1, 84,50.51 ,18249, 17882
4, 5,59.73 ,5216, 3516
3, 11,49.0 ,3084, 3210
